timestamp,gas_price
01/19/2016,13.7
01/20/2016,13.05
01/21/2016,12.98
01/22/2016,13.5
01/23/2016,13.25666667
01/24/2016,13.01333333
01/25/2016,12.77
01/26/2016,13.05
01/27/2016,13.4
01/28/2016,13.75
01/29/2016,13
01/30/2016,12.94
01/31/2016,12.88
02/01/2016,12.82
02/02/2016,13.05
02/03/2016,13.15
02/04/2016,12.45
02/05/2016,12.7
02/06/2016,12.55
02/07/2016,12.4
02/08/2016,12.25
02/09/2016,12.18
02/10/2016,12.18
02/11/2016,12
02/12/2016,12.15
02/13/2016,12.26666667
02/14/2016,12.38333333
02/15/2016,12.5
02/16/2016,12.58
02/17/2016,12.32
02/18/2016,12.35
02/19/2016,12.23
02/20/2016,12.37
02/21/2016,12.51
02/22/2016,12.65
02/23/2016,12.7
02/24/2016,12.48
02/25/2016,12.27
02/26/2016,12.25
02/27/2016,12.41666667
02/28/2016,12.58333333
02/29/2016,12.75
03/01/2016,12.55
03/02/2016,12.6
03/03/2016,12.5
03/04/2016,12.28
03/05/2016,12.34666667
03/06/2016,12.41333333
03/07/2016,12.48
03/08/2016,12.35
03/09/2016,12.3
03/10/2016,12.13
03/11/2016,12.4
03/12/2016,12.37666667
03/13/2016,12.35333333
03/14/2016,12.33
03/15/2016,12.25
03/16/2016,12.4
03/17/2016,12.38
03/18/2016,12.28
03/19/2016,12.18666667
03/20/2016,12.09333333
03/21/2016,12
03/22/2016,12.15
03/23/2016,12.05
03/24/2016,11.95
03/25/2016,12.13
03/26/2016,12.16
03/27/2016,12.19
03/28/2016,12.22
03/29/2016,11.93
03/30/2016,12.1
03/31/2016,12.4
04/01/2016,11.53
04/02/2016,11.48666667
04/03/2016,11.44333333
04/04/2016,11.4
04/05/2016,11.35
04/06/2016,11.32
04/07/2016,11.43
04/08/2016,11.2
04/09/2016,11.11666667
04/10/2016,11.03333333
04/11/2016,10.95
04/12/2016,11.5
04/13/2016,11.35
04/14/2016,11.28
04/15/2016,11.27
04/16/2016,11.27
04/17/2016,11.27
04/18/2016,11.27
04/19/2016,11.27
04/20/2016,11.95
04/21/2016,11.95
04/22/2016,13.28
04/23/2016,13.27
04/24/2016,13.26
04/25/2016,13.25
04/26/2016,13.6
04/27/2016,14.45
04/28/2016,13.08
04/29/2016,12.9
04/30/2016,12.81666667
05/01/2016,12.73333333
05/02/2016,12.65
05/03/2016,12.18
05/04/2016,12.3
05/05/2016,12.6
05/06/2016,12.75
05/07/2016,12.81666667
05/08/2016,12.88333333
05/09/2016,12.95
05/10/2016,12.82
05/11/2016,13
05/12/2016,12.73
05/13/2016,12.9
05/14/2016,12.96666667
05/15/2016,13.03333333
05/16/2016,13.1
05/17/2016,13.07
05/18/2016,13.15
05/19/2016,12.9
05/20/2016,12.85
05/21/2016,12.84333333
05/22/2016,12.83666667
05/23/2016,12.83
05/24/2016,13.02
05/25/2016,13.18
05/26/2016,13.6
05/27/2016,14.1
05/28/2016,14.08
05/29/2016,14.06
05/30/2016,14.04
05/31/2016,14.18
06/01/2016,14.35
06/02/2016,14.68
06/03/2016,14.28
06/04/2016,14.38666667
06/05/2016,14.49333333
06/06/2016,14.6
06/07/2016,14.93
06/08/2016,14.53
06/09/2016,14.32
06/10/2016,13.85
06/11/2016,13.82666667
06/12/2016,13.80333333
06/13/2016,13.78
06/14/2016,14.13
06/15/2016,14.1
06/16/2016,14.27
06/17/2016,14.35
06/18/2016,14.56666667
06/19/2016,14.78333333
06/20/2016,15
06/21/2016,14.82
06/22/2016,15.05
06/23/2016,15.15
06/24/2016,14.45
06/25/2016,14.31666667
06/26/2016,14.18333333
06/27/2016,14.05
06/28/2016,14.13
06/29/2016,14.33
06/30/2016,14
07/01/2016,14.35
07/02/2016,14.36666667
07/03/2016,14.38333333
07/04/2016,14.4
07/05/2016,14.15
07/06/2016,14.07
07/07/2016,14.3
07/08/2016,14
07/09/2016,13.96
07/10/2016,13.92
07/11/2016,13.88
07/12/2016,14.3
07/13/2016,14.2
07/14/2016,14.25
07/15/2016,14.2
07/16/2016,14.18333333
07/17/2016,14.16666667
07/18/2016,14.15
07/19/2016,14.25
07/20/2016,14.52
07/21/2016,14.8
07/22/2016,14.55
07/23/2016,14.57666667
07/24/2016,14.60333333
07/25/2016,14.63
07/26/2016,14.5
07/27/2016,14.23
07/28/2016,13.8
07/29/2016,13.55
07/30/2016,13.58333333
07/31/2016,13.61666667
08/01/2016,13.65
08/02/2016,13.5
08/03/2016,13.15
08/04/2016,13.35
08/05/2016,12.45
08/06/2016,12.47333333
08/07/2016,12.49666667
08/08/2016,12.52
08/09/2016,12.65
08/10/2016,12.68
08/11/2016,12
08/12/2016,11.7
08/13/2016,11.51666667
08/14/2016,11.33333333
08/15/2016,11.15
08/16/2016,11.5
08/17/2016,11.6
08/18/2016,11.43
08/19/2016,10.58
08/20/2016,10.73666667
08/21/2016,10.89333333
08/22/2016,11.05
08/23/2016,11.35
08/24/2016,11.05
08/25/2016,11.1
08/26/2016,11.5
08/27/2016,11.68333333
08/28/2016,11.86666667
08/29/2016,12.05
08/30/2016,11.8
08/31/2016,11.75
09/01/2016,11.88
09/02/2016,12.25
09/03/2016,12.2
09/04/2016,12.15
09/05/2016,12.1
09/06/2016,11.9
09/07/2016,11.2
09/08/2016,11.18
09/09/2016,11.15
09/10/2016,11
09/11/2016,10.85
09/12/2016,10.7
09/13/2016,11.05
